Lake,Timepoint,Time,Depth,DO,Temperature,Light,pH,Conductivity,Chlorophyll,Phycocyanin,Production
Mendota,8,13,6,10.29,25,74.65,8.62,607,5.1,0.37,159
Mendota,8,13,7,10.24,24.96,,8.64,607,5.1,0.37,159
Mendota,8,13,8,10.18,24.92,,8.64,607,5.1,0.37,159
Mendota,8,13,9,1.42,18.68,,7.79,650,5.1,0.37,159
Mendota,8,13,10,0.38,15.89,,7.6,654,5.1,0.37,159
Mendota,12,17,0,10.4,25.04,1588.9,8.63,608,6.11,0.52,15
Mendota,12,17,1,10.46,25.04,892.4,8.63,607,6.11,0.52,15
Mendota,12,17,2,10.45,25.02,438,8.63,608,6.11,0.52,15
Mendota,12,17,3,10.45,25.01,186.89,8.64,608,6.11,0.52,15
Mendota,12,17,4,10.44,25.02,94.35,8.64,608,6.11,0.52,15
Mendota,12,17,5,10.42,24.98,48.85,8.63,608,6.11,0.52,15
Mendota,12,17,6,10.39,24.93,24.99,8.62,609,6.11,0.52,15
Mendota,12,17,7,10.35,24.92,,8.63,609,6.11,0.52,15
Mendota,12,17,8,10.29,24.87,,8.62,609,6.11,0.52,15
Mendota,12,17,9,10.19,24.8,,8.62,609,6.11,0.52,15
Mendota,12,17,10,4.16,21.55,,8.11,640,6.11,0.52,15
Mendota,16,21,0,10.08,25,0.47,8.64,606,5.79,0.26,41
Mendota,16,21,1,10.09,25,0.18,8.64,606,5.79,0.26,41
Mendota,16,21,2,10.12,25.01,0.11,8.64,607,5.79,0.26,41
Mendota,16,21,3,10.16,24.99,0.05,8.65,607,5.79,0.26,41
Mendota,16,21,4,10.18,24.97,0.04,8.65,607,5.79,0.26,41
Mendota,16,21,5,10.17,24.96,0.05,8.65,607,5.79,0.26,41
Mendota,16,21,6,10.21,24.94,0.02,8.65,607,5.79,0.26,41
Mendota,16,21,7,10.12,24.9,,8.65,607,5.79,0.26,41
Mendota,16,21,8,8.96,24.34,,8.56,613,5.79,0.26,41
Mendota,16,21,9,8.2,23.87,,8.5,617,5.79,0.26,41
Mendota,16,21,10,1.74,19.71,,7.84,649,5.79,0.26,41
Mendota,20,1,0,9.66,24.86,,8.61,607,8.02,1.52,56
Mendota,20,1,1,9.74,24.9,,8.62,607,8.02,1.52,56
Mendota,20,1,2,9.76,24.88,,8.63,607,8.02,1.52,56
Mendota,20,1,3,9.76,24.89,,8.64,607,8.02,1.52,56
Mendota,20,1,4,9.75,24.9,,8.64,607,8.02,1.52,56
Mendota,20,1,5,9.74,24.9,,8.65,607,8.02,1.52,56
Mendota,20,1,6,9.64,24.87,,8.65,607,8.02,1.52,56
Mendota,20,1,7,8.19,23.82,,8.5,617,8.02,1.52,56
Mendota,20,1,8,0.24,14.74,,7.58,657,8.02,1.52,56
Mendota,20,1,9,0.21,12.05,,7.5,659,8.02,1.52,56
Mendota,20,1,10,0.2,11.99,,7.47,658,8.02,1.52,56
Mendota,24,5,0,9.65,24.69,0.1,8.63,606,6.92,0.52,147.9545455
